ID Proof,Location,Division,Department,Visitor Name,Visitor Mobile,Access Card,Visitor Company,To Meet,Remarks,Time In,Time Out,Visit Duration,Logged Out,Host Log,Pass ID,Auth By,Questions,Type of Visitor,Assets
7.03E+11,Mumbai,Corporate,PNS,Slade Sydney,4611581058,Y-312/P,Digitube,Gisella Ticehurst,BY MAIL,19 Sep 2022 03:05PM,,,,,SEBI/73129638/90,,"Laptop Sr. No. :,Place of Meeting: 4MG FLR",,NA
6.52E+11,Mumbai,Corporate,ISD1,Margaretha Hefforde,4643502931,L-313/P,Browsebug,Samara Bolgar,BY CALL,16 Sep 2022 05:33AM,,,,,SEBI/00407598/32,,"Laptop Sr. No. :,Place of Meeting: 0NN FLR",,NA
8.68E+11,Mumbai,Corporate,GSD,Margalo Dillaway,9649437855,H-142/P,Jetwire,Virge Roeby,BY CALL,30 Oct 2022 12:22PM,,,,,SEBI/42271906/54,,"Laptop Sr. No. :,Place of Meeting: 1HI FLR",Vendor,NA
6.90E+11,Mumbai,Corporate,MIRSD,Maryellen Selley,7506029416,J-970/P,Jabbersphere,Reggy Cutten,BY MAIL,16 Oct 2022 04:19AM,22/08/22 00:06AM,,,,SEBI/70563228/99,,"Laptop Sr. No. :,Place of Meeting: 6TA FLR",,NA
8.41E+11,Mumbai,Corporate,ISD1,Yard Grissett,5819664131,V-153/P,Kwilith,Dorree Sandbach,AS PER NID,09 Oct 2022 10:16AM,,,,,SEBI/60412763/95,,"Laptop Sr. No. :,Place of Meeting: 5HY FLR",,NA
5.13E+11,Mumbai,Corporate,OIAE,Romy Fitt,2372331213,B-115/P,Plambee,Harcourt Tyrone,AS PER NID,25 Sep 2022 02:58PM,,,Manually,,SEBI/51320831/46,,"Laptop Sr. No. :,Place of Meeting: 2BV FLR",,NA
9.17E+11,Mumbai,Corporate,CFD,Matthias Heazel,2404227696,U-338/P,Devcast,Eveline Durbridge,AS PER NID,17 Sep 2022 02:11PM,,,Manually,,SEBI/35320808/65,,"Laptop Sr. No. :,Place of Meeting: 7YS FLR",,NA
3.39E+11,Mumbai,Corporate,OCH,Archer Cron,5563130727,P-692/P,Podcat,Sharon Scawton,BY CALL,08 Sep 2022 06:56PM,09/04/22 12:27PM,,,,SEBI/54150277/87,,"Laptop Sr. No. :,Place of Meeting: 8ZL FLR",,NA
3.46E+11,Mumbai,Corporate,PNS,Billie Kampshell,2206403328,Y-508/P,Roomm,Guthrie Jedryka,BY MAIL,17 Oct 2022 06:40AM,,,Manually,,SEBI/13497168/54,,"Laptop Sr. No. :,Place of Meeting: 3RP FLR",Vendor,NA
8.11E+11,Mumbai,,LIB,Cass Handrek,9007171175,W-559/P,Gevee,Candy Stearnes,,06 Oct 2022 12:32PM,22/10/22 14:25,,,,SEBI/91606477/35,,"Laptop Sr. No. :,Place of Meeting: 4OW FLR",Visitor,NA
7.80E+11,Mumbai,Corporate,CFD,Caty Poschel,9549412228,F-593/P,Quamba,Costanza Loncaster,BY MAIL,05 Oct 2022 09:49AM,,,,,SEBI/77085971/81,,"Laptop Sr. No. :,Place of Meeting: 6NE FLR",Vendor,NA
5.39E+11,Mumbai,,OIAE,Maryellen Selley,7506029416,I-953/P,Cogidoo,Vincents Rosson,,06 Oct 2022 11:55PM,10/05/22 16:19,,,,SEBI/36292800/66,,"Laptop Sr. No. :,Place of Meeting: 9FS FLR",Visitor,NA
8.72E+11,Mumbai,Corporate,IVD,Guthry Athow,6119041160,F-001/P,Edgeclub,Alfreda Oughton,BY MAIL,19 Oct 2022 05:16AM,,,,,SEBI/24513353/80,,"Laptop Sr. No. :,Place of Meeting: 8PC FLR",,NA
2.20E+11,Mumbai,,GSD,Obie Thaller,4348131806,K-957/P,Thoughtblab,Cheslie Ridgedell,,07 Sep 2022 09:29PM,18/07/22 20:47,,Manually,,SEBI/11888742/94,,"Laptop Sr. No. :,Place of Meeting: 0TO FLR",Vendor,NA
7.12E+11,Mumbai,,MIRSD,Willamina Tregian,9001450923,T-875/P,Wordpedia,Waldon Stabbins,,17 Sep 2022 07:09PM,07/05/22 18:38,,,,SEBI/06328583/67,,"Laptop Sr. No. :,Place of Meeting: 2KN FLR",Visitor,NA
9.56E+11,Mumbai,Corporate,FMD,Demetrius ffrench Beytagh,3691900639,Q-853/P,Meeveo,Nola Gudeman,AS PER NID,29 Oct 2022 07:50AM,20/12/22 12:51,,,,SEBI/72258993/79,,"Laptop Sr. No. :,Place of Meeting: 2EJ FLR",,NA
4.65E+11,Mumbai,,ISD1,Garvy Carn,4723874192,U-474/P,Skyba,Jerome Rubinsky,,27 Oct 2022 12:27PM,,,,,SEBI/14829700/99,,"Laptop Sr. No. :,Place of Meeting: 3AQ FLR",Visitor,NA
2.31E+11,Mumbai,Corporate,FMD,Christy McCarle,4953154439,Y-340/P,Geba,Cullen Douthwaite,BY CALL,07 Sep 2022 05:18PM,19/04/22 09:21,,,,SEBI/52162764/21,,"Laptop Sr. No. :,Place of Meeting: 5KD FLR",Visitor,NA
